time[s],duration[s],current[A],voltage[V],energy[J],sum_energy[J]
1671129271.5759227,0.0,0.6987756987756987,11.600000381469727,0.0,0.0
1671129272.0234358,0.4475131034851074,0.7180257180257187,11.600000381469727,3.727380765063529,3.727380765063529
1671129272.4312823,0.40784645080566406,0.8797258797258798,11.579999923706055,4.154823812717549,7.882204577781078
1671129272.8797116,0.4484293460845947,0.7007007007007015,11.600000381469727,3.6448913012517186,11.527095879032796
1671129273.3689084,0.48919677734375,0.7026257026257018,11.579999923706055,3.980303390267231,15.507399269300027
1671129273.8019671,0.4330587387084961,0.7334257334257333,11.579999923706055,3.6779981547296563,19.185397424029684
1671129274.191162,0.38919496536254883,0.7507507507507505,11.579999923706055,3.3835417936975185,22.568939217727202
1671129274.6358435,0.44468140602111816,0.5775005775005778,11.600000381469727,2.9789238158220535,25.547863033549255
1671129275.0951655,0.4593219757080078,0.5794255794255782,11.600000381469727,3.0872577637686196,28.635120797317875
1671129275.5347526,0.4395871162414551,0.7026257026257018,11.579999923706055,3.5766590667137255,32.2117798640316
1671129276.02292,0.48816728591918945,0.696850696850696,11.600000381469727,3.946084804889264,36.157864668920865
1671129276.4392564,0.4163365364074707,0.719950719950719,11.600000381469727,3.477004868231247,39.63486953715211
1671129276.8950107,0.45575428009033203,0.7603757603757593,11.600000381469727,4.019916416507277,43.65478595365939
1671129277.3558185,0.46080780029296875,0.696850696850696,11.600000381469727,3.724925268776703,47.37971122243609
1671129277.7600167,0.40419816970825195,0.7411257411257417,11.579999923706055,3.4689240935892043,50.848635316025295
1671129278.2321243,0.4721076488494873,0.6891506891506899,11.579999923706055,3.767591323018412,54.61622663904371
1671129278.6351943,0.40306997299194336,0.5197505197505203,11.579999923706055,2.4259616717749015,57.04218831081861
1671129279.011411,0.3762166500091553,0.8104258104258107,11.600000381469727,3.5367900446689706,60.57897835548758
1671129279.431869,0.4204580783843994,0.746900746900745,11.579999923706055,3.636588419299715,64.21556677478729
1671129279.8850508,0.45318174362182617,0.8373758373758368,11.510000228881836,4.367854504838192,68.58342127962548
1671129280.2944767,0.4094259738922119,1.0241010241010238,11.489999771118164,4.817682898740347,73.40110417836583
1671129280.6898913,0.3954145908355713,1.0260260260260239,11.470000267028809,4.653444043075933,78.05454822144176
1671129281.1575692,0.4676778316497803,1.0934010934010927,11.489999771118164,5.875519992015459,83.93006821345722
1671129281.6243255,0.46675634384155273,1.068376068376067,11.470000267028809,5.719760030448711,89.64982824390593
1671129282.0736203,0.4492948055267334,0.9451759451759434,11.470000267028809,4.870880622601145,94.52070886650708
1671129282.5791728,0.5055525302886963,1.0799260799260808,11.489999771118164,6.2730729470784095,100.79378181358548
1671129283.0176768,0.4385039806365967,1.0125510125510122,11.489999771118164,5.101647792292909,105.89542960587839
